Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
1980-01-04,6560.16015625,6560.16015625,6560.16015625,6560.16015625,0
1980-01-07,6552.64990234375,6552.64990234375,6552.64990234375,6552.64990234375,0
1980-01-08,6563.27978515625,6563.27978515625,6563.27978515625,6563.27978515625,0
1980-01-09,6591.830078125,6591.830078125,6591.830078125,6591.830078125,0
1980-01-10,6594.009765625,6594.009765625,6594.009765625,6594.009765625,0
1980-01-11,6615.509765625,6615.509765625,6615.509765625,6615.509765625,0
1980-01-14,6659.5498046875,6659.5498046875,6659.5498046875,6659.5498046875,0
1980-01-16,6653.259765625,6653.259765625,6653.259765625,6653.259765625,0
1980-01-17,6656.2998046875,6656.2998046875,6656.2998046875,6656.2998046875,0
1980-01-18,6649.2998046875,6649.2998046875,6649.2998046875,6649.2998046875,0
1980-01-21,6666.27001953125,6666.27001953125,6666.27001953125,6666.27001953125,0
1980-01-22,6684.58984375,6684.58984375,6684.58984375,6684.58984375,0
1980-01-23,6694.18994140625,6694.18994140625,6694.18994140625,6694.18994140625,0
1980-01-24,6746.93017578125,6746.93017578125,6746.93017578125,6746.93017578125,0
1980-01-25,6767.7099609375,6767.7099609375,6767.7099609375,6767.7099609375,0
1980-01-28,6763.60986328125,6763.60986328125,6763.60986328125,6763.60986328125,0
1980-01-29,6770.830078125,6770.830078125,6770.830078125,6770.830078125,0
1980-01-30,6776.60009765625,6776.60009765625,6776.60009765625,6776.60009765625,0
1980-01-31,6768.16015625,6768.16015625,6768.16015625,6768.16015625,0
1980-02-01,6777.64013671875,6777.64013671875,6777.64013671875,6777.64013671875,0
1980-02-04,6794.2099609375,6794.2099609375,6794.2099609375,6794.2099609375,0
1980-02-05,6765.1201171875,6765.1201171875,6765.1201171875,6765.1201171875,0
1980-02-06,6800.330078125,6800.330078125,6800.330078125,6800.330078125,0
1980-02-07,6795.6201171875,6795.6201171875,6795.6201171875,6795.6201171875,0
1980-02-08,6816.02978515625,6816.02978515625,6816.02978515625,6816.02978515625,0
1980-02-12,6828.0498046875,6828.0498046875,6828.0498046875,6828.0498046875,0
1980-02-13,6835.990234375,6835.990234375,6835.990234375,6835.990234375,0
1980-02-14,6839.85986328125,6839.85986328125,6839.85986328125,6839.85986328125,0
1980-02-15,6827.7099609375,6827.7099609375,6827.7099609375,6827.7099609375,0
1980-02-18,6756.60009765625,6756.60009765625,6756.60009765625,6756.60009765625,0
1980-02-19,6763.08984375,6763.08984375,6763.08984375,6763.08984375,0
1980-02-20,6806.009765625,6806.009765625,6806.009765625,6806.009765625,0
1980-02-21,6776.509765625,6776.509765625,6776.509765625,6776.509765625,0
1980-02-22,6783.22021484375,6783.22021484375,6783.22021484375,6783.22021484375,0
1980-02-25,6751.2900390625,6751.2900390625,6751.2900390625,6751.2900390625,0
1980-02-26,6739.43017578125,6739.43017578125,6739.43017578125,6739.43017578125,0
1980-02-27,6777.33984375,6777.33984375,6777.33984375,6777.33984375,0
1980-02-28,6743.990234375,6743.990234375,6743.990234375,6743.990234375,0
1980-02-29,6764.89013671875,6764.89013671875,6764.89013671875,6764.89013671875,0
1980-03-03,6793.56005859375,6793.56005859375,6793.56005859375,6793.56005859375,0
1980-03-04,6778.27001953125,6778.27001953125,6778.27001953125,6778.27001953125,0
1980-03-05,6794.0400390625,6794.0400390625,6794.0400390625,6794.0400390625,0
1980-03-06,6736.08984375,6736.08984375,6736.08984375,6736.08984375,0
1980-03-07,6625.18017578125,6625.18017578125,6625.18017578125,6625.18017578125,0
1980-03-10,6507.16015625,6507.16015625,6507.16015625,6507.16015625,0
1980-03-11,6535.669921875,6535.669921875,6535.669921875,6535.669921875,0
1980-03-12,6609.4599609375,6609.4599609375,6609.4599609375,6609.4599609375,0
1980-03-13,6604.39013671875,6604.39013671875,6604.39013671875,6604.39013671875,0
1980-03-14,6593.39990234375,6593.39990234375,6593.39990234375,6593.39990234375,0
1980-03-17,6562.66015625,6562.66015625,6562.66015625,6562.66015625,0
1980-03-18,6578.2099609375,6578.2099609375,6578.2099609375,6578.2099609375,0
1980-03-19,6584.759765625,6584.759765625,6584.759765625,6584.759765625,0
1980-03-20,6584.759765625,6584.759765625,6584.759765625,6584.759765625,0
1980-03-21,6571.77001953125,6571.77001953125,6571.77001953125,6571.77001953125,0
1980-03-24,6567.25,6567.25,6567.25,6567.25,0
1980-03-25,6531.259765625,6531.259765625,6531.259765625,6531.259765625,0
1980-03-26,6535.8798828125,6535.8798828125,6535.8798828125,6535.8798828125,0
1980-03-27,6481.02001953125,6481.02001953125,6481.02001953125,6481.02001953125,0
1980-03-28,6475.93017578125,6475.93017578125,6475.93017578125,6475.93017578125,0
1980-03-31,6556.18994140625,6556.18994140625,6556.18994140625,6556.18994140625,0
1980-04-01,6502.7998046875,6502.7998046875,6502.7998046875,6502.7998046875,0
1980-04-02,6562.990234375,6562.990234375,6562.990234375,6562.990234375,0
1980-04-03,6614.2001953125,6614.2001953125,6614.2001953125,6614.2001953125,0
1980-04-04,6688.64013671875,6688.64013671875,6688.64013671875,6688.64013671875,0
1980-04-07,6737.06005859375,6737.06005859375,6737.06005859375,6737.06005859375,0
1980-04-08,6682.5400390625,6682.5400390625,6682.5400390625,6682.5400390625,0
1980-04-09,6708.240234375,6708.240234375,6708.240234375,6708.240234375,0
1980-04-10,6730.509765625,6730.509765625,6730.509765625,6730.509765625,0
1980-04-11,6751.9599609375,6751.9599609375,6751.9599609375,6751.9599609375,0
1980-04-14,6808.169921875,6808.169921875,6808.169921875,6808.169921875,0
1980-04-15,6805.77978515625,6805.77978515625,6805.77978515625,6805.77978515625,0
1980-04-16,6770.3701171875,6770.3701171875,6770.3701171875,6770.3701171875,0
1980-04-17,6798.77978515625,6798.77978515625,6798.77978515625,6798.77978515625,0
1980-04-18,6811.39013671875,6811.39013671875,6811.39013671875,6811.39013671875,0
1980-04-21,6810.669921875,6810.669921875,6810.669921875,6810.669921875,0
1980-04-22,6799.009765625,6799.009765625,6799.009765625,6799.009765625,0
1980-04-23,6843.85009765625,6843.85009765625,6843.85009765625,6843.85009765625,0
1980-04-24,6830.31005859375,6830.31005859375,6830.31005859375,6830.31005859375,0
1980-04-25,6904.81005859375,6904.81005859375,6904.81005859375,6904.81005859375,0
1980-04-28,6875.66015625,6875.66015625,6875.66015625,6875.66015625,0
1980-04-30,6865.56005859375,6865.56005859375,6865.56005859375,6865.56005859375,0
1980-05-01,6865.080078125,6865.080078125,6865.080078125,6865.080078125,0
1980-05-02,6882.64990234375,6882.64990234375,6882.64990234375,6882.64990234375,0
1980-05-06,6856.080078125,6856.080078125,6856.080078125,6856.080078125,0
1980-05-07,6834.83984375,6834.83984375,6834.83984375,6834.83984375,0
1980-05-08,6757.7001953125,6757.7001953125,6757.7001953125,6757.7001953125,0
1980-05-09,6808.3798828125,6808.3798828125,6808.3798828125,6808.3798828125,0
1980-05-12,6754.93994140625,6754.93994140625,6754.93994140625,6754.93994140625,0
1980-05-13,6766.93994140625,6766.93994140625,6766.93994140625,6766.93994140625,0
1980-05-14,6747.740234375,6747.740234375,6747.740234375,6747.740234375,0
1980-05-15,6746.509765625,6746.509765625,6746.509765625,6746.509765625,0
1980-05-16,6733.0,6733.0,6733.0,6733.0,0
1980-05-19,6634.330078125,6634.330078125,6634.330078125,6634.330078125,0
1980-05-20,6707.2998046875,6707.2998046875,6707.2998046875,6707.2998046875,0
1980-05-21,6822.18017578125,6822.18017578125,6822.18017578125,6822.18017578125,0
1980-05-22,6836.89013671875,6836.89013671875,6836.89013671875,6836.89013671875,0
1980-05-23,6839.89013671875,6839.89013671875,6839.89013671875,6839.89013671875,0
1980-05-26,6831.919921875,6831.919921875,6831.919921875,6831.919921875,0
1980-05-27,6826.5,6826.5,6826.5,6826.5,0
1980-05-28,6849.0498046875,6849.0498046875,6849.0498046875,6849.0498046875,0
1980-05-29,6841.39990234375,6841.39990234375,6841.39990234375,6841.39990234375,0
1980-05-30,6855.7001953125,6855.7001953125,6855.7001953125,6855.7001953125,0
1980-06-02,6862.7001953125,6862.7001953125,6862.7001953125,6862.7001953125,0
1980-06-03,6826.18017578125,6826.18017578125,6826.18017578125,6826.18017578125,0
1980-06-04,6795.6298828125,6795.6298828125,6795.6298828125,6795.6298828125,0
1980-06-05,6821.240234375,6821.240234375,6821.240234375,6821.240234375,0
1980-06-06,6814.5,6814.5,6814.5,6814.5,0
1980-06-09,6823.0400390625,6823.0400390625,6823.0400390625,6823.0400390625,0
1980-06-10,6783.240234375,6783.240234375,6783.240234375,6783.240234375,0
1980-06-11,6826.009765625,6826.009765625,6826.009765625,6826.009765625,0
1980-06-12,6814.72021484375,6814.72021484375,6814.72021484375,6814.72021484375,0
1980-06-13,6821.81005859375,6821.81005859375,6821.81005859375,6821.81005859375,0
1980-06-16,6852.60986328125,6852.60986328125,6852.60986328125,6852.60986328125,0
1980-06-17,6798.5,6798.5,6798.5,6798.5,0
1980-06-18,6824.9501953125,6824.9501953125,6824.9501953125,6824.9501953125,0
